,Status,Brand,Model,CPU,RAM,SSD Size,Screen,Touch,Final Price
0,1,MSI,Katana,Intel Core i7,16,1000,15.6,0,1199.0
2,1,Asus,VivoBook,Intel Core i7,8,512,15.6,0,809.01
3,1,HP,Victus,Intel Core i7,16,512,16.1,0,1149.0
4,1,MSI,Thin,Intel Core i7,16,1000,15.6,0,1399.0
5,1,Asus,VivoBook,Intel Core i7,8,512,15.6,0,769.0
6,1,MSI,Thin,Intel Core i7,16,512,15.6,0,999.0
7,1,Asus,TUF,Intel Core i7,16,512,15.6,0,1179.0
8,1,MSI,Katana,Intel Core i7,16,512,15.6,0,1549.0
10,1,HP,15S,Intel Core i7,16,512,15.6,0,789.0
11,1,HP,Omen,Intel Core i7,32,1000,16.1,0,1699.0
12,1,Asus,ZenBook,Intel Core i7,16,512,13.3,0,1089.0
13,1,HP,Victus,Intel Core i7,16,512,16.1,0,1399.0
14,1,HP,15S,Intel Core i7,16,512,15.6,0,899.01
15,1,MSI,Creator,Intel Core i7,32,1000,16.0,0,1899.01
16,1,MSI,Katana,Intel Core i7,16,1000,15.6,0,1699.0
17,1,Asus,VivoBook,Intel Core i7,16,512,15.6,0,809.01
18,1,Asus,VivoBook,Intel Core i7,8,512,15.6,0,749.0
19,1,MSI,Modern,Intel Core i7,16,1000,15.6,0,999.0
21,1,Asus,VivoBook,Intel Core i7,8,512,15.6,0,859.0
22,1,MSI,Creator,Intel Core i7,32,1000,16.0,0,1499.01
23,1,MSI,Katana,Intel Core i7,16,1000,15.6,0,1699.0
24,1,HP,Victus,Intel Core i7,16,512,16.1,0,1199.0
25,1,MSI,Modern,Intel Core i7,16,1000,14.0,0,999.0
26,1,Lenovo,IdeaPad,Intel Core i7,16,512,15.6,0,749.0
27,1,MSI,Prestige,Intel Core i7,16,1000,14.0,0,1489.0
28,1,HP,Pavilion,Intel Core i7,16,512,15.6,0,999.0
29,1,HP,15S,Intel Core i7,8,512,15.6,0,739.01
30,1,MSI,Stealth,Intel Core i7,32,1000,16.0,0,2449.0
31,1,Acer,Aspire,Intel Core i7,8,512,15.6,0,839.0
32,1,Asus,ZenBook,Intel Core i7,16,512,13.3,0,1199.0
33,1,Razer,Blade,Intel Core i7,16,1000,15.6,0,3299.99
34,1,Asus,VivoBook,Intel Core i7,8,512,16.0,0,709.0
35,1,Lenovo,IdeaPad,Intel Core i7,16,512,15.6,0,749.0
36,1,Asus,VivoBook,Intel Core i7,8,512,16.0,0,819.0
37,1,Lenovo,IdeaPad,Intel Core i7,16,512,15.6,0,1399.0
38,1,MSI,Pulse,Intel Core i7,32,1000,17.3,0,1499.0
39,1,HP,15S,Intel Core i7,8,512,15.6,0,699.0
40,1,Lenovo,Legion,Intel Core i7,16,512,15.6,0,1599.0
41,1,MSI,Modern,Intel Core i7,16,512,14.0,0,999.0
42,0,Lenovo,IdeaPad,Intel Core i7,16,512,15.6,0,899.0
43,1,MSI,Stealth,Intel Core i7,32,1000,15.6,0,1899.0
44,1,MSI,Prestige,Intel Core i7,32,1000,14.0,0,1359.0
45,1,Asus,F515,Intel Core i7,8,512,15.6,0,839.0
46,1,Lenovo,Legion,Intel Core i7,16,1000,15.6,0,1569.01
47,1,MSI,Modern,Intel Core i7,16,1000,14.0,0,999.0
48,1,MSI,Prestige,Intel Core i7,32,1000,16.0,0,1999.0
49,1,MSI,Prestige,Intel Core i7,32,1000,16.0,0,1999.0
50,1,HP,Omen,Intel Core i7,32,1000,17.3,0,1799.0
51,1,MSI,Stealth,Intel Core i7,32,1000,17.3,0,2949.0
52,1,MSI,Pulse,Intel Core i7,16,1000,17.3,0,2099.0
53,1,Asus,ExpertBook,Intel Core i7,16,512,15.6,0,1049.0
54,1,Razer,Blade,Intel Core i7,16,1000,15.6,0,2799.99
55,1,HP,Omen,Intel Core i7,16,1000,16.1,0,1599.0
56,1,Asus,TUF,Intel Core i7,16,512,15.6,0,1299.0
57,1,MSI,Stealth,Intel Core i7,16,1000,15.6,0,1799.0
58,1,MSI,Katana,Intel Core i7,16,512,15.6,0,1299.0
59,1,MSI,Modern,Intel Core i7,16,1000,15.6,0,1169.01
60,1,Gigabyte,Aero,Intel Core i7,16,2000,16.0,0,2899.0
61,1,Acer,Nitro,Intel Core i7,16,512,15.6,0,1499.0
62,1,MSI,Prestige,Intel Core i7,16,1000,16.0,0,1899.0
63,1,HP,Omen,Intel Core i7,32,1000,17.3,0,1999.0
64,1,Lenovo,V15,Intel Core i7,16,512,15.6,0,699.0
